iter	RMSE
0	3.499004206
1	3.432551466
2	3.397840866
3	3.354538367
4	3.310253809
5	3.254268677
6	3.212645512
7	3.183780869
8	3.135962049
9	3.093910574
10	3.055925549
11	3.023900332
12	3.010885273
13	2.973062213
14	2.955569601
15	2.924120946
16	2.904369183
17	2.881099756
18	2.846232281
19	2.826218508
20	2.78977298
21	2.77133028
22	2.756592424
23	2.737446425
24	2.713429354
25	2.687270734
26	2.669181498
27	2.648156568
28	2.628554862
29	2.611623104
30	2.575316315
31	2.559824535
32	2.534766665
33	2.518949106
34	2.493811286
35	2.474126276
36	2.458084428
37	2.43609635
38	2.419763833
39	2.407036683
40	2.388896889
41	2.372681452
42	2.354249855
43	2.340339522
44	2.317525895
45	2.302886702
46	2.291692968
47	2.275692968
48	2.258487413
49	2.240956783
50	2.233634509
51	2.223849564
52	2.207564569
53	2.194013775
54	2.174046202
55	2.158203895
56	2.140259757
57	2.125951869
58	2.109973191
59	2.099418959
60	2.087171647
61	2.067978656
62	2.056456268
63	2.048220483
64	2.037830806
65	2.027388325
66	2.01477238
67	2.003115356
68	1.984186137
69	1.974485134
70	1.960598612
71	1.950689047
72	1.940575149
73	1.931641653
74	1.919952301
75	1.913549525
76	1.906357546
77	1.896014245
78	1.88558812
79	1.879547555
80	1.864506346
81	1.854405829
82	1.846991919
83	1.832278156
84	1.820829446
85	1.808899442
86	1.79908624
87	1.787566862
88	1.776728343
89	1.770518436
90	1.762116691
91	1.754771992
92	1.747601748
93	1.741508348
94	1.730025322
95	1.722650209
96	1.715995506
97	1.707378824
98	1.699142632
99	1.691973445
100	1.678719762
101	1.672552462
102	1.663246733
103	1.653378569
104	1.64630005
105	1.640740993
106	1.630155456
107	1.627210701
108	1.617956818
109	1.612398301
110	1.605551394
111	1.599173863
112	1.590111868
113	1.578358012
114	1.571644608
115	1.566269598
116	1.561327474
117	1.556714317
118	1.549393351
119	1.543530954
120	1.534495544
121	1.531538631
122	1.524875774
123	1.51922911
124	1.514464924
125	1.50478073
126	1.499376885
127	1.493924258
128	1.488454095
129	1.479641069
130	1.474290002
131	1.467548935
132	1.464254933
133	1.459521786
134	1.450901911
135	1.44553195
136	1.439127172
137	1.43506927
138	1.431509432
139	1.427169921
140	1.418646656
141	1.407776109
142	1.39683317
143	1.390732944
144	1.382013786
145	1.374187319
146	1.368148911
147	1.365794337
148	1.361193955
149	1.354703062
150	1.348651032
151	1.341732592
152	1.332384879
153	1.329750403
154	1.324304304
155	1.319055829
156	1.317820104
157	1.312465741
158	1.310259915
159	1.304224489
160	1.301660492
161	1.300208315
162	1.294489501
163	1.288144578
164	1.283979087
165	1.281883538
166	1.280409505
167	1.275923639
168	1.272263892
169	1.266581883
170	1.258220198
171	1.254937518
172	1.249485769
173	1.247082325
174	1.245233208
175	1.244178062
176	1.237931807
177	1.23445094
178	1.230321496
179	1.224846632
180	1.220108243
181	1.215325112
182	1.211495617
183	1.20735826
184	1.20133786
185	1.200108255
186	1.193319271
187	1.190547558
188	1.189354969
189	1.185429092
190	1.177881315
191	1.175029925
192	1.171224765
193	1.162289281
194	1.161087063
195	1.157238514
196	1.155231343
197	1.151979199
198	1.147484268
199	1.140232458
200	1.13233974
201	1.130174481
202	1.125797313
203	1.121985936
204	1.117879743
205	1.113951813
206	1.109171786
207	1.102837228
208	1.098510736
209	1.096095923
210	1.090075991
211	1.088425802
212	1.081602387
213	1.074603967
214	1.070396025
215	1.068054105
216	1.063659985
217	1.060364952
218	1.057376486
219	1.051673241
220	1.045301299
221	1.044210271
222	1.043278621
223	1.03903387
224	1.033120862
225	1.030496598
226	1.024200242
227	1.021464062
228	1.018017895
229	1.016419409
230	1.015553904
231	1.010210906
232	1.004023146
233	1.001740988
234	0.9949893904
235	0.9942209348
236	0.992247491
237	0.9881616178
238	0.9848625637
239	0.9831589495
240	0.9821846049
241	0.9805184535
242	0.9767018895
243	0.9707798688
244	0.9698702496
245	0.9672561635
246	0.9665005435
247	0.963315492
248	0.9583090192
249	0.9549661984
250	0.9493798885
251	0.9451487969
252	0.9409566202
253	0.9362675413
254	0.9311220353
255	0.9292548458
256	0.9285265311
257	0.9263266002
258	0.9249869769
259	0.921570592
260	0.9177345483
261	0.9156398471
262	0.912918383
263	0.9096236434
264	0.9048859176
